agency_name,addr1,addr2
Junction Police Department,730 Main St, 
Juneau County Sheriff's Office,200 Oak St Rm 1101, 
Juneau Police Department,128 E. Cross Street,P.O. Box 85
Juneau Police Dept.,6255 Alaway Ave, 
Juniata County Sheriff's Office,26 N Main St,PO Box 42
Juniata Valley Regional Police Department,P.O. Box 237,316 King St.
Junior Police Department,Post Office Box 247, 
Juno Beach Police Department,340 Ocean Drive, 
Jupiter Inlet Colony Police Department,One Colony Road, 
Jupiter Island Public Safety Department,103 Bunker Hill Road, 
Jupiter Police Department,210 Military Trail, 
Justice Police Dept,7800 South Archer Road, 
Justin Police Department,P. O. Box 129, 
Kadoka Police Department,Po Box 488, 
Kahoka Police Department,518 N Lincoln St - Suite #2, 
Kake Police Dept.,P.O. Box 107, 
Kalama Police Department,385 Main,PO BOX 297
Kalamazoo County Sheriff's Office,1500 Lamont Ave, 
Kalamazoo Dept of Public Safety,150 E Crosstown Pky,Suite A
Kalamazoo Township Police Department,1720 Riverview Drive, 
Kalida Police Department,P.O. Box 235,110 S. Broad
Kalispel Tribal Police,Po Box 39, 
Kalispell Police Department,Drawer 1997, 
Kalkaska County Sheriff's Office,605 N Birch St,PO Box 1119
Kalkaska Police Department,200 Hyde Street, 
Kamas Police Department,170 North Main, 
Kamiah Police Department,Po Box 338, 
Kanab Police Department,140 East 100 South, 
Kanabec County Sheriff's Office,18 Vine St N Ste 143, 
Kanawha County Park Police,Coonskin Drive, 
Kanawha County Sheriff's Office,407 Virginia St E,PO Box 75087
Kanawha Police Department,121 N Main St, 
Kandiyohi County Sheriff's Office,2201 23Rd St Ne,PO Box 733
Kane Borough Police Department,112 Bayard Street, 
Kane County Forest Preserve Police Dept,719 S Batavia Ave,Bldg G
Kane County Sheriff's Office,777 E Fabyan Pkwy,PO Box 31
Kane County Sheriff's Office,76 N Main St, 
Kankakee County Sheriff's Office,3000 Justice Way, 
Kankakee Police Dept,209 North Indiana Ave, 
Kannapolis Police Department,314 South Main St, 
Kansas Alcoholic Beverage Control Division,915 Sw Harrison St Room 214, 
Kansas Animal Health Dept - Brand Division,708 S Jackson St, 
Kansas Bureau of Investigation,1620 Sw Tyler, 
Kansas City International Airport Police,Po Box 20047, 
Kansas City Kansas Community College Campus Police,Po Box 12951, 
Kansas City Police Department,700 Minnesota, 
Kansas City Police Department,1125 Locust Street, 
Kansas Dept of Revenue - Criminal Investigations Unit,915 Sw Harrison St, 
Kansas Dept of Wildlife & Parks,512 Se 25Th Ave, 
Kansas Highway Patrol,122 Sw Seventh St, 
Kansas Lottery Security Division,128 N Kansas Ave, 
Kansas Police Department,P. O. Box 195, 
Kansas Police Dept,104 S Front, 
Kansas Racing & Gaming Commission - Security Division,700 Sw Harrison Suite 420, 
Kansas Securities Commissioner,618 S Kansas Ave, 
Kansas State Fire Marshal,700 Sw Jackson Suite 600, 
Kansas State University Police Department,108 Edwards Hall, 
Kaplan Police Department,413 N. Cushing Ave, 
Karnes City Police Department,211 E Calvert Ave, 
Karnes County Constable Pct. 1,2393 Fm 743, 
Karnes County Constable Pct. 3,318 N. Johnson, 
Karnes County Constable Pct. 4,P. O. Box 155, 
Karnes County Sheriff's Office,113 N Panna Maria Ave, 
Kasson Police Department,401 5Th Street South East, 
Katy I.S.D. Police Dept.,20370 Franz Road, 
Katy Police Department,5456 Franz Rd., 
Kauai (County) Police Department,"3990 Kaana St., Suite 200", 
Kaufman  I.S.D. Police Dept.,3205 South Houston, 
Kaufman County Constable Pct. 1,3001 S. Washington, 
Kaufman County Constable Pct. 2,P. O. Box 1324 200 E. Main St., 
Kaufman County Constable Pct. 3,408 E. College, 
Kaufman County Constable Pct. 4,P.O. Box 191,103 N Main
Kaufman County Sheriff's Office,1900 E Hwy 175,PO Drawer 849
Kaufman Police Department,105 E. Chestnut St., 
Kaukauna Police Department,201 West Second Street,P.O. Box 890
Kaw City Police Department,900 Morgan Square E., 
Kaw Nation Tribal Police,Drawer 50, 
Kay County Sheriff's Office,110 S Maple Ave, 
Kaycee Police Department,Box 265, 
Kaysville Police Department,58 East 100 North, 
Kean University Police,Dept Of Public Safety & Police,1000 Morris Avenue
Keansburg Police,179 Carr Avenue, 
Kearney County Sheriff's Office,246 N Colorado Ave,PO Box 185
Kearney Police Department,106 S Jefferson   Po Box 773, 
Kearney Police Dept,2025 Avenue A, 
Kearny County Sheriff's Office,Po Box P, 
Kearny Police,237 Laurel Avenue, 
Kearny Police Department,P. O. Box 639, 
Kechi Police Department,Po Box 88, 
Keego Harbor Police Department,2141 Cass Lake Rd, 
Keene Police Department,100 N. Mockingbird Ln, 
Keene Police Department,400 Marlboro Street, 
Keewatin Police Department,P.O. Box 36,CITY HALL
Keiser Police Department,P.O. Box 138, 
Keith County Sheriff's Office,103 East 5th Street, 
Keizer Police Department,Po Box 21000, 
Keller Police Department,330 Rufe Snow, 
Kelleys Island Police Department,P.O. Box 466,122 Division Street
Kellogg Police Department,323 Main St, 
Kellogg Police Department,Po Box 45, 
Kellyville Police Department,P. O. Box 1260, 
Kelso Police Department,201 South Pacific Ave, 
Kemah Police Department,1401 State Hwy. 146, 
Kemmerer Police Dept,222 Wyoming Hwy 233, 
Kemp I.S.D. Police Dept.,202 W. 17Th Street,#1 yellowjacket dr
Kemp Police Department,P. O. Box 449, 
Kemper County Sheriff's Office,Rr 2 Box 28A, 
Kempner Police Department,298 Pecan St.,P.O. Box 660
Kempton Police Dept.,205 S. Main St.,P.O. Box 47
Kenai Police Dept.,107 S Willow St, 
Kenansville Police Department,Po Box 370, 
Kenbridge Police Department,P.O. Box 478, 
Kendall County Constable Pct. 1,"204 E. San Antonio Ave., Suite 24", 
Kendall County Constable Pct. 2,P.O. Box 425, 
Kendall County Constable Pct. 3,10-A Staudt Street, 
Kendall County Constable Pct. 4,P.O. Box 645, 
Kendall County Sheriff's Office,6 Staudt St, 
Kendall County Sheriff's Office,1102 Cornell Ln, 
Kendallville Police,234 South Main Street, 
Kenedy County Constable Pct. 4,P.O. Box 446, 
Kenedy County Sheriff's Office,101 E La Parra Ave, 
Kenedy Police Department,303 W. Main, 
Kenefick Police Department,3564 Fm 1008, 
Kenilworth Borough Police,567 Boulevard, 
Kenilworth Police Dept,419 Richmond Road, 
Kenly Police Department,Po Box 519, 
Kenmare Police Department,5 3Rd St Ne, 
Kenmore Village Police Department,2395 Elmwood Avenue, 
Kennebec County Sheriff's Office,125 State St, 
Kennebunk Police Department,4 Summer Street, 
Kennebunkport Police Department,Po Box 2720, 
Kennedale Police Department,401 Municipal Drive, 
Kennedy Township Police Department,340 Forest Grove Rd, 
Kenner Police Department,500 Veterans Blvd., 
Kennesaw Police Department,2539 J.O. Stephenson Ave., 
Kennesaw State University - Dept of Public Safety,1000 Chastain Road, 
Kenneth City Police Department,4600 58Th Street North, 
Kennett Police Department,200 E 2Nd Street, 
Kennett Square Borough Police Department,115 N Broad St,PO Box 5
Kennett Township Police Department,801 Burrows Run Road, 
Kennewick Police Department,211 W. 6th Avenue, 
Kenosha County Sheriff's Office,1000 55Th St, 
Kenosha Police Department,1000 55Th Street, 
Kenova Police Department,1501 Pine Street, 
Kensett Police Department,101 NE 1st St., 
Kensington Police Department,95 Amesbury Road, 
Kensington Police Department,217 Arlington Avenue, 
Kensington Village Police Department,1-A Beverly Road, 
Kent County Sheriff's Office,104 Vickers Dr Unit B, 
Kent County Sheriff's Office,P. O. Box 7,101 N. Main St.
Kent County Sheriff's Office,701 Ball Ave NE, 
Kent Police Department,319 South Water Street, 
Kent Police Department,220 4Th Avenue South, 
Kent State University Police Department,Po Box 5190,Stockdale Safety Building
Kent Town Police Department,40 Sybil'S Crossing, 
Kentland Police,300 North Third Street, 
Kenton County Police Department,11777 Madison Pike, 
Kenton County Schools Police Department,1055 Eaton Drive, 
Kenton County Sheriff's Office,303 Court St Ste 409, 
Kenton Police Department,108 N.Poplar Street, 
Kenton Police Department,P.O. Box 250,111 W. Franklin Street
Kentucky Alcoholic Beverage Control,1003 Twilight Trail, 
Kentucky Department of Fish & Wildlife,#1 Sportsman Lane, 
Kentucky Department of Parks - Ranger Division,500 Mero St. 10Th Floor, 
Kentucky Division of Animal Health - Field Enforcement,100 Fair Oaks Ln. - Suite 252, 
Kentucky Horse Park Police Department,4089 Ironworks Pike, 
Kentucky Public Protecton Cabinet - Dept of Insurance - Fraud Division,P.O. Box 4050, 
Kentucky State Police,919 Versailles Rd, 
Kentucky State University Police Department,400 E Main St,"Suite 253, Exum Bldg"
Kentwood Police Department,308 Ave G, 
Kentwood Police Department,4742 Walma Ave Se, 
Kenyon Police Department,709 2Nd Street, 
Keokuk County Sheriff's Office,204 S Stone St, 
Keokuk Police Department,Po Box 1147, 
Keota Police Department,P. O. Box 199, 
Keota Police Department,Po Box 77, 
Kerens Police Department,P. O. Box 160, 
Kerman Police Department,850 S. Madera Avenue, 
Kermit Police Department,Post Office Box 385, 
Kermit Police Department,110 South Tornillo, 
Kern County Sheriff's Office,1350 Norris Rd, 
Kern High School District Police Department,5801 Sundale Ave, 
Kernersville Police Department,Po Box 728, 
Kerr County Constable Pct. 1,"700 Main, Room Cb 102", 
Kerr County Constable Pct. 2,"400 Clearwater Paseo, Suite 103", 
Kerr County Constable Pct. 3,"700 Main Street, Ba 102","700 Main Street, ba 102"
Kerr County Constable Pct. 4,3324-A Junction Hwy, 
Kerr County Sheriff's Office,400 Clearwater Paseo, 
Kerrville Police Department,429 Sidney Baker, 
Kersey Police Department,P O Box 67, 
Kershaw County Sheriff's Office,PO Box 70, 
Ketchikan Airport Police,1000 Airport Terminal Way, 
Ketchikan Police Dept.,361 Main Street, 
Ketchum Police Department,Po Box 3008, 
Kettering Police Department,3600 Shroyer Road, 
Kettle Falls Police Department,Po Box 457, 
Kewanee Police Dept,401 E 3Rd Street, 
Kewaskum Police Department,204 First Street, 
Kewaunee County Sheriff's Office,620 Juneau St, 
Kewaunee Police Department,401 Fifth Street,P.O. Box 256
Keweenaw Bay Tribal Police Department,16429 Beartown Rd, 
Keweenaw County Sheriff's Office,5105 4Th St, 
Key Biscayne Police Department,88 West Mcintyre Street, 
Key Colony Beach Police Department,P.O. Box 510141, 
Key West Police Department,1604 No. Roosevelt Blvd., 
Keya Paha County Sheriff's Office,310 Courthouse Dr, 
Keyes Police Department,Box 121, 
Keyport Police,70 West Front Street, 
Keyser Police Department,111 N Davis Street, 
Keystone Police Department,Hc 52 Box 200, 
Kibler Police Department,50 Oak Terrace, 
Kickapoo Nation Tribal Police,P. O. Box 1310, 
Kickapoo Tribal Police Department,822 K-20 Highway, 
Kidder County Sheriff's Office,Po Box 318,120 E Broadway
Kidder Township Police Department,P.O. Box 576, 
Kiefer Police Department,P. O. Box 369, 
Kiel Police Department,621 Sixth Street,P.O. Box 98
Kildeer Police Dept,21911 North Quentin Road, 
Kilgore College Police Dept.,1100 Broadway, 
Kilgore Police Department,P.O. Box 3066, 
Kill Devil Hills Police Department,Po Box 1605, 
Killdeer Police Department,Po Box 270, 
Killeen I.S.D. Police Department,4100 Zephyr Road, 
Killeen Municipal Court,101 North College Street, 
Killeen Police Department,402 N. 2Nd Street, 
Killen Police Department,Post Office Box 27, 
Killian Police Department,Po Box 546, 
Kilmarnock Police Department,P. O. Box 1357, 
Kilmichael Police Department,Post Office Box 296, 
Kimball County Sheriff's Office,Ste 12,114 E 3rd St
Kimball Police Department,675 Main Street, 
Kimball Police Department,"140 N. Main, Ste. 100",PO Box 16
Kimball Police Department,P.O. Box 381, 
Kimball Police Department,Post Office Box 157, 
Kimball Police Dept,219 S. Chestnut St., 
Kimberling City Police Department,Po Box 370, 
Kimberly Police Department,Post Office Box 206, 
Kimberly/Hansen Police Department,Po Box Z, 
Kimble County Sheriff's Office,415 Pecan St, 
Kincaid Police Dept,115 Central Ave,P. O. Box 615
Kinder Police Department,P.O. Drawer Ah, 
King & Queen County Sheriff's Office,Po Box 38, 
King City Police Department,15300 Sw 116Th Avenue, 
King City Police Department,P.O. Box 653, 
King City Police Department,415 Bassett Street, 
King County Airport Police Department,7300 Perimeter Road South,Suite 143
King County Sheriff's Office,516 3Rd Ave,W-116 King Co Courthouse
King County Sheriff's Office,Po Box 66,800 US Hwy 82 & 83 Baker
King Cove Police Dept.,Po Box 289, 
King George County Sheriff's Office,9483 Kings Hwy Ste 5, 
King Police Department,Po Box 835, 
King William County Sheriff's Office,Po Box 98,351 Courthouse Lane
Kingfisher County Sheriff's Office,119 S Main St, 
Kingfisher Police Department,117 W. Miles, 
Kingman County Sheriff's Office,120 N Spruce St, 
Kingman Police Department,2730 East Andy Devine Avenue, 
Kingman Police Department,120 N Spruce St, 
Kings County Sheriff's Office,1444 W Lacey Blvd,PO Box 986
Kings Mountain Police Department,Po Box 7, 
Kings Point Village Police Department,32 Steppingstone Lane, 
Kingsburg Police Department,1300 California Street, 
Kingsbury County Sheriff's Office,Po Box 136,204 2nd St SE
Kingsford Dept of Public Safety,510 South Westwood Ave, 
Kingsford Heights Police,504 Grayton Road,P.O. Box 330
Kingsland Police Dept,Post Office Box 250, 
Kingsley Police Department,221 Main, 
Kingsport Police Department,200 Shelby St., 
Kingston Police Department,Post Office Box 309, 
Kingston Police Department,500 Wyoming Ave., 
Kingston Police Department,244 Main Street, 
Kingston Police Department,125 W. Cumberland, 
Kingston Police Department,One Garraghan Drive, 
Kingston Police Department,3477 S Phillips Rd,Sub Station
Kingston Police Department,P. O. Box 638, 
Kingston Police Department,Po Box 201, 
Kingston Police Dept,101 East Railroad St., 
Kingston Springs Police Department,P.O. Box 256, 
Kingston Township Police Department,180 East Center Street, 
Kingstown Police Department,2014 Kingston Road, 
Kingstree Police Department,401 N. Longstreet Street, 
Kingsville Police Department,P.O. Box 1458, 
Kingwood Police Department,313 Tunnelton Street, 
Kinloch Police Department,5990 Monroe Ave, 
Kinmundy Police Dept,P.O. Box 56, 
Kinnelon Police,130 Kinnelon Road, 
Kinney County Constable Pct. 1,P. O. Box 1200, 
Kinney County Sheriff's Office,Po Box 246,109 North St
Kinross Township Police Department,4884 W Curtis Drive,PO Box 5123
Kinsey Police Department,6947 Walden Drive, 
Kinsman Township Police Department,P.O. Box 399,8070 Main Street
Kinston Police Department,Po Box 339, 
Kinston Police Department,Post Office Box 26, 
Kiowa County Sheriff's Office,301 S Jefferson St, 
Kiowa County Sheriff's Office,Po Box 427, 
Kiowa County Sheriff's Office,200 E Wisconsin Ave, 
Kiowa Police Department,P O Box 237, 
Kiowa Police Department,P. O. Box 69, 
Kiowa Police Department,Po Box 228, 
Kirby Police Department,4130 Ackermann Rd., 
Kirbyville Police Department,105 S. Elizabeth, 
Kirkland Police Department,123 5Th Avenue, 
Kirkland Police Dept,511 W. Main St., 
Kirkland Town Police Department,#2 New Street,P.O. Box B
Kirklin Police,113 North Main Street,Post Office Box 147
